,Date of Notice,Amendment,Reason Stated for Filing,Company,County,Business Type,Number Affected,Total Employees,Layoff Date,Closing Date,Reason for Dislocation,Union,Classification
0,3/29/2023 ,,Plant Layoff ,"Envision Physicians Services, LLC ",Albany |WDB Name:  CAPITAL DISTRICT | Region:  Capital Region ,Hospital Based Physicians Group ,167,167,"Separations for 167 employees will occur on June 14, 2023, and June 27, 2023.  ",---- ,Loss of Contract ,The employees are not represented by a union.  ,Plant Layoff
1,3/02/2023 & 3/06/2023 ,,Plant Unit Closing ,"Staffing Boutique, Inc. (MedRite Staffing Boutique) ",Queens |WDB Name:  NEW YORK CITY | Region:  New York City ,Treat 2 Test COVID-19 pandemic-related testing ,295,465,3/10/2023 ,3/10/2023 ,Medrite Staffing Boutique Treat 2 Test program was terminated by the ,The employees are not represented by a union.  ,Plant Unit Closing
2,3/02/2023 ,,Plant Layoff ,Creatively Designed Products LLC ,Suffolk |WDB Name:  SUFFOLK | Region:  Long Island ,Bathroom supply store ,75,75,"Separations for 75 employees will occur on May 29, 2023.  ",---- ,"Relocation of operations to Little Neck, NY. ",The employees are not represented by a union.  ,Plant Layoff
3,3/28/2023 ,,Plant Layoff ,"Teacher Synergy, LLC (Teachers Pay Teachers) ",New York |WDB Name:  NEW YORK CITY | Region:  New York City ,"Online store that buys and sells educational content, lesson plans, and other ",71,150,"March 28, 2023 ",---- ,Eonomic ,The employees are not represented by a union. ,Plant Layoff
4,1/17/2023      Amendment: 4/3/2023 ,4/3/2023 ,Plant Layoff ,"Roses Confections, LP  ",Montgomery |WDB Name: FMS | Region: Mohawk Valley Region  ,Candy Manufacturer ,34,,"The separation of 29 employees has been postponed from April 17, 2023 to ",---- ,Economic ,The employees are not represented by a union. ,Plant Layoff 
5,4/04/2023 ,,Plant Closing ,National Express d/b/a Quality Bus Service LLC ,Orange |WDB Name:  ORANGE | Region:  Mid-Hudson Region ,Transportation ,97,97,"July 3, 2023 ","July 3, 2023 ",Due to the loss of a contract ,The employees are not represented by a union.  ,Plant Closing
6,3/28/2022 ,,Plant Closing ,Research Foundation of The City University of New York  ,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,National health foundation in New York City ,70,70,"Seventy (70) employees will be permanently separated from employment on May 11, 2023. ","May 11, 2023 ",Loss of funding ,The employees are not represented by a union.  ,Plant Closing
7,3/29/2023 ,,Plant Closing ,Cayuga Home for Children d/b/a Cayuga Centers ,Bronx |WDB Name:  NEW YORK CITY | Region:  New York City ,"Not for Profit, Child Welfare ",70,1004,"Last date of employment for employees will occur on June 30, 2023. ","March 31, 2023 ",Economic ,The employees are not represented by a union.  ,Plant Closing
8,3/31/2023 ,,Plant Closings ,"Create Restaurants NY, Inc.  ",New York |WDB Name:  NEW YORK CITY | Region:  New York City ,Restaurants ,57,57,"Separations for 57 employees will occur on or before March 31, 2023 and on June 30, 2023. ","June 30, 2023 ",Economic ,The employees are not represented by a union.  ,Plant Closings
9,3/31/2023 ,,Plant Layoff ,"nfrastructure Technologies, LLC ",Albany |WDB Name: CAPITAL DISTRICT | Region: Capital Region ,IT Services ,69,69,"May 31, 2023 ",---- ,Contract ending ,The employees are not represented by a union. ,Plant Layoff 
